resume_id,human_win_count,files
19518606,6,results_cogito_3b.txt; results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt; results_qwen2.5_32b.txt
26071861,6,results_cogito_3b.txt; results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
28745844,6,results_cogito_3b.txt; results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt; results_qwen2.5_32b.txt
38355831,6,results_cogito_3b.txt; results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
93988900,6,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt; results_qwen2.5_32b.txt
14554542,5,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
16605352,5,results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt; results_qwen2.5_32b.txt
19147947,5,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
19284293,5,results_cogito_3b.txt; results_gemma3_4b.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt; results_qwen2.5_32b.txt
20552814,5,results_cogito_3b.txt; results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
23841877,5,results_cogito_3b.txt; results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt
24508725,5,results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt; results_qwen2.5_32b.txt
24754689,5,results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt; results_qwen2.5_32b.txt
25873425,5,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
26673507,5,results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt; results_qwen2.5_32b.txt
26691587,5,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
27080812,5,results_cogito_3b.txt; results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
27164756,5,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
27182111,5,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
27372171,5,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt
30397268,5,results_cogito_3b.txt; results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
36425270,5,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt
39247950,5,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt
39718499,5,results_gemma3_12b.txt; results_gemma3_4b.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt; results_qwen2.5_32b.txt
43752620,5,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
69764348,5,results_cogito_3b.txt; results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt
75950464,5,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
79541391,5,results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt; results_qwen2.5_32b.txt
10748989,4,results_cogito_3b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt
10830646,4,results_cogito_3b.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt; results_qwen2.5_32b.txt
14449423,4,results_cogito_3b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.5_14b.txt
14910300,4,results_cogito_3b.txt; results_gemma3_12b.txt; results_gemma3_4b.txt; results_qwen2.53b.txt
15699744,4,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt
16203589,4,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.5_14b.txt
17539842,4,results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
17704246,4,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.5_32b.txt
17818707,4,results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.5_14b.txt; results_qwen2.5_32b.txt
18767449,4,results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
18825446,4,results_cogito_3b.txt; results_gemma3_12b.txt; results_gemma3_4b.txt; results_qwen2.53b.txt
18905648,4,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt
19397727,4,results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt
19497420,4,results_cogito_3b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.5_14b.txt
19671909,4,results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
19951766,4,results_cogito_3b.txt; results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.5_32b.txt
20033302,4,results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt
20138606,4,results_cogito_3b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt
20400279,4,results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
20574232,4,results_cogito_3b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt
20604208,4,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt
20736486,4,results_cogito_3b.txt; results_gemma3_4b.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
20806155,4,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.5_32b.txt
20925036,4,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt
21031285,4,results_cogito_3b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt
22232367,4,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt
22890839,4,results_cogito_3b.txt; results_gemma3_12b.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
23185829,4,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt
23438227,4,results_cogito_3b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt
23568731,4,results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
23939133,4,results_gemma3_12b.txt; results_gemma3_4b.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
24544244,4,results_cogito_3b.txt; results_gemma3_4b.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt
24695561,4,results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
24709432,4,results_cogito_3b.txt; results_gemma3_4b.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
24773845,4,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt
24953126,4,results_gemma3_12b.txt; results_gemma3_4b.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt
24953921,4,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.5_32b.txt
25452321,4,results_cogito_3b.txt; results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt
25588694,4,results_cogito_3b.txt; results_gemma3_4b.txt; results_qwen2.5_14b.txt; results_qwen2.5_32b.txt
25676643,4,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt
26496059,4,results_cogito_3b.txt; results_gemma3_4b.txt; results_qwen2.53b.txt; results_qwen2.5_32b.txt
26780935,4,results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt
26942552,4,results_gemma3_12b.txt; results_mistral-small3.2_latest.txt; results_qwen2.5_14b.txt; results_qwen2.5_32b.txt
27536013,4,results_cogito_3b.txt; results_gemma3_12b.txt; results_gemma3_4b.txt; results_qwen2.53b.txt
27798860,4,results_cogito_3b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt
27917969,4,results_cogito_3b.txt; results_gemma3_12b.txt; results_gemma3_4b.txt; results_qwen2.5_14b.txt
28013287,4,results_gemma3_12b.txt; results_qwen2.53b.txt; results_qwen2.5_14b.txt; results_qwen2.5_32b.txt
28772892,4,results_gemma3_12b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.53b.txt
28939941,4,results_cogito_3b.txt; results_gemma3_4b.txt; results_mistral-small3.2_latest.txt; results_qwen2.5_32b.txt
